"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MFN";"OC-DIGIKEY";"OC-MOUSER";"OC-NEWARK";
"4";"100nF";"C0603";"0603";"C5, C8, C12, C14";"Capacitor";"";"";"";"";"";
"1";"10k";"R0603";"0603@1";"R5";"";"";"";"";"";"";
"2";"12pF";"C0603";"0603";"C10, C11";"Capacitor";"";"";"";"";"";
"1";"16MHz";"Q_2.5X2.0";"2.5X2.0";"Q1";"";"";"";"";"";"";
"2";"1k";"R0603";"0603@1";"R6, R7";"";"";"";"";"";"";
"1";"1uF";"C0603";"0603";"C1";"Capacitor";"";"";"";"";"";
"2";"22pF";"C0603";"0603";"C6, C9";"Capacitor";"";"";"";"";"";
"2";"33R";"R0603";"0603@1";"R1, R3";"";"";"";"";"";"";
"1";"470R";"R0603";"0603@1";"R11";"";"";"";"";"";"";
"1";"4k7";"R0603";"0603@1";"R4";"";"";"";"";"";"";
"1";"BLUE";"LED0603";"CHIPLED_0603";"LED6";"SMD LED";"";"";"";"";"";
"1";"DAPULE";"DAPULE";"DAPULE";"MOD1";"";"";"";"";"";"";
"1";"GREEN";"LED0603";"CHIPLED_0603";"LED4";"SMD LED";"";"";"";"";"";
"1";"IF_MKL26Z128VFM4";"IF_MKL26Z128VFM4";"HVQFN32";"IC3";"CMSIS-DAP Interface (MK20DX128)";"";"";"";"";"";
"1";"LD1117S33";"LD1117S33";"SOT223";"IC1";"VOLTAGE REGULATOR SMD 3,3V";"";"";"";"";"";
"1";"RED";"LED0603";"CHIPLED_0603";"LED5";"SMD LED";"";"";"";"";"";
"1";"SKRKAEE010";"SKRKAEE010";"SKRKAEE010";"SW2";"MOMENTARY SWITCH PUSH VERTICAL (SPST)";"ALPS";"SKRKAEE010";"";"688-SKRKAE";"";
"2";"SWD-10-SMD";"SWD-10-SMD";"SWD-10-SMD";"CON1, CON4";"2.54mm pitch 10-Pin Cortex Programming Header";"";"";"";"";"";
"1";"TC2030-CTX-NL";"TC2030-CTX-NL";"TC2030-CTX-NL";"CON5";"Tag-Connect In Circuit Programming & Debug Cable 6 Pin";"";"";"";"";"";
"1";"USBLC6-2SC6";"USBLC6-2SC6";"SOT23-6L";"IC2";"";"";"";"";"";"";
"1";"USB_MICROB";"USB_MICROB";"MOLEX-47364-0001";"CON3";"USB Connectors";"";"";"";"";"";
