"Qty";"Value";"Device";"Package";"Parts";"Description";"FLASH";"GPIO";"MF";"MFN";"OC-DIGIKEY";"OC-MOUSER";"OC-NEWARK";"SRAM";"TP_SIGNAL_NAME";
"1";"0R@DNF";"R0402";"0402@1";"R4";"";"";"";"";"";"";"";"";"";"";
"4";"100nF";"C0603";"0603";"C1, C3, C4, C5";"Capacitor";"";"";"";"";"";"";"";"";"";
"2";"10k";"R0603";"0603@1";"R5, R6";"";"";"";"";"";"";"";"";"";"";
"1";"10uF";"C0603";"0603";"C2";"Capacitor";"";"";"";"";"";"";"";"";"";
"1";"12MHz";"Q_3.2X2.5";"3.2X.2.5";"Q1";"";"";"";"";"";"";"";"";"";"";
"4";"18pF";"C0603";"0603";"C6, C7, C8, C9";"Capacitor";"";"";"";"";"";"";"";"";"";
"1";"1k5";"R0603";"0603@1";"R9";"";"";"";"";"";"";"";"";"";"";
"4";"33R";"R0603";"0603@1";"R7, R8, R10, R11";"";"";"";"";"";"";"";"";"";"";
"3";"470R";"R0603";"0603@1";"R1, R2, R3";"";"";"";"";"";"";"";"";"";"";
"1";"BAT60J";"BAT60J";"SOD323";"D1";"SCHOTTKY DIODE";"";"";"STMicroelectronics";"BAT60JFILM";"497-3707-6-ND";"511-BAT60JFILM";"89K1218";"";"";
"1";"BLUE";"LED0603";"CHIPLED_0603";"LED2";"SMD LED";"";"";"";"";"";"";"";"";"";
"1";"BSS84";"BSS84";"SOT23";"T1";"P-CHANNEL MOS FET";"";"";"";"";"";"";"";"";"";
"1";"DAPULE";"DAPULE";"DAPULE";"MOD1";"";"";"";"";"";"";"";"";"";"";
"1";"GREEN";"LED0603";"CHIPLED_0603";"LED3";"SMD LED";"";"";"";"";"";"";"";"";"";
"1";"LD1117S33";"LD1117S33";"SOT223";"IC2";"VOLTAGE REGULATOR SMD 3,3V";"";"";"";"";"";"";"";"";"";
"1";"LPC11U35FHI33/501";"LPC11U35FHI33/501";"SOT617-3";"IC3";"32-bit ARM Cortex-M0 microcontroller; up to 128  kB flash; up";"64kB";"26";"";"";"";"";"";"12kB";"";
"6";"PTR1TP07R";"PTR1TP07R";"TP07R";"TP1, TP2, TP5, TP8, TP9, TP13";"TEST PIN";"";"";"";"";"";"";"";"";"";
"1";"RED";"LED0603";"CHIPLED_0603";"LED1";"SMD LED";"";"";"";"";"";"";"";"";"";
"1";"SKRKAEE010";"SKRKAEE010";"SKRKAEE010";"SW1";"MOMENTARY SWITCH PUSH VERTICAL (SPST)";"";"";"ALPS";"SKRKAEE010";"";"688-SKRKAE";"";"";"";
"2";"SWD-10/TC2050_SMD";"SWD-10/TC2050_SMD";"FTSH-105-02";"CON2, CON3";"1mm pitch 10-Pin Cortex Programming Header with optional TC2050 footprint solderless interchangeable";"";"";"";"";"";"";"";"";"";
"2";"TEST-POINT-50R-PTH";"TEST-POINT-50R-PTH";"TP50-PTH";"TP3, TP4";"";"";"";"";"";"";"";"";"";"";
"1";"USBLC6-2SC6";"USBLC6-2SC6";"SOT23-6L";"IC1";"";"";"";"";"";"";"";"";"";"";
"1";"USB_MICROB";"USB_MICROB";"MOLEX-47364-0001";"CON1";"USB Connectors";"";"";"";"";"";"";"";"";"";
